node_id	title	node_type	region_min	region_max	primary_line	secondary_line	min_military_merit	max_military_merit	min_case_clues	min_clean_reputation	max_clean_reputation	min_martial_level	weight	max_per_run	can_repeat	unique_group	encounter_id	battle_id	visual_path	preview_text	result_text	effects_json	tags	combat_pool_id	recommended_martial_min	recommended_martial_max	enemy_martial_level
map_common_salt_ambush_01	盐滩遭遇	combat_common	1	4	military	old_case	0	13	0	0		1	12	1	false	combat_salt	enc_ch2_reed_ambush	chapter2_reed_ambush	res://assets/pixel_battle/backgrounds/battle_bg_coast_ambush.png	潮线外有脚步追来。	伏兵退去，沙里露出军靴印。	{"military_merit":1,"case_clues":1}	combat|common	spear_patrol	1	3	1
map_common_night_patrol_01	夜巡惊变	combat_common	1	4	military		0	8	0	0		1	11	1	false	combat_night_patrol	enc_ch2_reed_ambush	chapter2_reed_ambush	res://assets/pixel_battle/backgrounds/narrative_night_knife_camp.png	夜巡灯火一灭，刀声就近了。	敌人散得快，只留下半枚腰牌。	{"military_merit":1}	combat|common	spear_patrol	1	3	1
map_common_dock_melee_01	船坞混战	combat_common	2	4	military		0		0	0		1	11	1	false	combat_dock	enc_ch4_tide_bandits	chapter4_tide_bandits	res://assets/pixel_battle/backgrounds/battle_bg_mutiny_camp.png	船坞里人很多，话很少。	你杀出一条路。	{"military_merit":1}	combat|common	coastal_veteran	2	4	2
map_common_reed_cut_01	芦苇短兵	combat_common	1	3	old_case		0		1	0		1	10	1	false	combat_reed_cut	enc_ch2_reed_ambush	chapter2_reed_ambush	res://assets/pixel_battle/backgrounds/narrative_beach_ambush.png	芦苇断口很齐，像有人预先开过路。	你在断苇下摸到旧火药味。	{"case_clues":1}	combat|common	spear_patrol	1	3	1
map_common_ferry_raid_01	渡口袭扰	combat_common	2	4	reputation	military	0		0	1		1	10	1	false	combat_ferry_raid	enc_ch2_reed_ambush	chapter2_reed_ambush	res://assets/pixel_battle/backgrounds/map_march_coast.png	渡口百姓先跑，你后拔刀。	有人记住你替他们挡了一阵。	{"clean_reputation":1,"military_merit":1}	combat|common	spear_patrol	1	3	1
map_common_warehouse_01	仓外围杀	combat_common	2	4	old_case	military	1		1	0		1	10	1	false	combat_warehouse	enc_ch4_tide_bandits	chapter4_tide_bandits	res://assets/pixel_battle/backgrounds/narrative_fishing_village_embers.png	仓门是焦黑的，围来的人却穿新靴。	你赢下这一阵，仓门也开了一寸。	{"military_merit":1,"case_clues":1}	combat|common	coastal_veteran	2	4	2
map_common_forest_road_01	林道截杀	combat_common	3	4	military		2		0	0		2	9	1	false	combat_forest_road	enc_ch4_tide_bandits	chapter4_tide_bandits	res://assets/pixel_battle/backgrounds/battle_bg_mutiny_camp.png	林道很窄，对方像知道你必经此处。	你把伏兵打散，也把军门的眼打亮。	{"military_merit":2}	combat|common	coastal_veteran	3	5	2
map_common_tide_return_01	回潮追兵	combat_common	3	4	old_case		0		3	0		2	9	1	false	combat_tide_return	enc_ch4_tide_bandits	chapter4_tide_bandits	res://assets/pixel_battle/backgrounds/battle_bg_black_tide.png	潮水回来，追兵也回来。	他们护着的不是人，是一只空箱。	{"case_clues":2}	combat|common	coastal_veteran	3	5	2
map_common_cliff_watch_01	崖哨突围	combat_common	1	4	military	reputation	0		0	0		1	9	1	false	combat_cliff_watch	enc_ch2_reed_ambush	chapter2_reed_ambush	res://assets/pixel_battle/backgrounds/map_march_coast.png	崖哨上有人先鸣锣，后拔刀。	你夺下哨口，也护住山下人声。	{"military_merit":1,"clean_reputation":1}	combat|common	spear_patrol	1	3	1
map_common_gate_surge_01	海门乱战	combat_common	4	4	military	old_case	4		4	0		2	8	1	false	combat_gate_surge	enc_ch4_tide_bandits	chapter4_tide_bandits	res://assets/pixel_battle/backgrounds/battle_bg_broken_ship.png	海门外乱兵与海寇撞在一处。	你杀穿乱流，旧案也被冲到明处。	{"military_merit":1,"case_clues":1}	combat|common|final	coastal_veteran	5	7	4
