asset_id	prompt_type	subject_label	target_hook	target_output	scene_core_en	historical_context_en	composition_en	focal_objects_en	mood_palette_en	story_line_en	negative_extra_en	scene_core_zh	historical_context_zh	composition_zh	focal_objects_zh	mood_palette_zh	story_line_zh	negative_extra_zh	status	note
battle_sheet_master_veteran	battle_action_sheet	师父战斗动作sheet	master_veteran	assets/pixel_battle/sheets/master_veteran_sheet.png	Formal 3-frame battle action sheet for the old master veteran|Full-body side-view combat sprite sheet, vertical 3-stack: idle guard, decisive blade strike, recovery guard|The same character must stay consistent across all frames	Ming dynasty coastal military old-case pressure|Veteran Ming coastal soldier, restrained authority, worn practical armor and cloth|No modern objects or fantasy staging	Chroma-key vertical 3-stack sprite sheet, 3 frames in one column, each frame 1536x512|Frame-safe silhouette with stable foot anchor and consistent scale|Readable at gameplay size with no cropped weapon or body parts	old master veteran with saber|idle guard pose, blade attack pose, recovery or guard pose|consistent costume, face, proportions, weapon length	veteran restraint|disciplined violence|old-case pressure|historical realism|clear animation readability	Communicate a restrained old soldier who can end a fight without theatrical posing.	No background scene|no large portrait crop|no modern tactical gear|no samurai armor|no inconsistent body proportions	“师父”正式三帧战斗动作 sheet|纵向三叠全身侧视战斗 sprite：待机守势、出刀攻击、回收守势|三帧必须是同一人，造型一致	明代海疆军务旧案压力|年老明军海防老兵，克制威严，实用旧甲与布衣|不要现代物件和玄幻摆拍	纯亮绿抠图纵向三叠 sprite sheet，三帧一列，每帧 1536x512|轮廓保持帧安全，脚底锚点稳定，比例一致|缩到游戏尺寸后动作仍清楚	持刀师父老兵|待机守势、出刀攻击、回收或防御姿态|统一服装、面部、比例和兵器长度	老兵克制|纪律化暴力|旧案压迫|历史写实|动作可读性清楚	必须传达“沉默老兵不夸张，但一出手就压住局面”。	不要场景背景|不要头像裁切|不要现代战术装备|不要日本武士甲|不要每帧体型不一致	PROMPT_READY	P1 battle sheet prompt for 师父战斗动作sheet
battle_sheet_hero_spearman	battle_action_sheet	主角枪手战斗动作sheet	spearman	assets/pixel_battle/sheets/spearman_sheet.png	Formal 3-frame battle action sheet for the young Ming coastal spearman protagonist|Full-body side-view combat sprite sheet, vertical 3-stack: spear guard, long thrust, controlled recovery|The same protagonist must stay consistent across all frames	Ming dynasty coastal military old-case pressure|Young Ming coastal officer using a long spear, practical cloth armor and field gear|No modern objects or fantasy staging	Chroma-key vertical 3-stack sprite sheet, 3 frames in one column, each frame 1536x512|Long weapon must fit frame safely and keep a stable foot anchor|Readable at gameplay size with clear silhouette and attack line	young officer spearman|idle guard pose, spear thrust pose, recovery pose|consistent costume, face, proportions, spear length	heroic restraint|coastal military pressure|long-weapon discipline|historical realism|clear animation readability	Communicate a trained young officer whose spear movement is clean, direct, and readable.	No background scene|no large portrait crop|no modern tactical gear|no fantasy spear glow|no inconsistent weapon length	主角枪手正式三帧战斗动作 sheet|纵向三叠全身侧视战斗 sprite：持枪守势、长枪突刺、控制回收|三帧必须是同一名主角，造型一致	明代海疆军务旧案压力|年轻明军海防武官使用长枪，实用布甲与军务行装|不要现代物件和玄幻摆拍	纯亮绿抠图纵向三叠 sprite sheet，三帧一列，每帧 1536x512|长兵器必须完整落在帧内，脚底锚点稳定|缩到游戏尺寸后轮廓和攻击线清楚	年轻持枪武官|待机守势、长枪突刺、回收姿态|统一服装、面部、比例和长枪长度	英雄克制|海疆军务压迫|长兵器纪律|历史写实|动作可读性清楚	必须传达“枪势干净、直接、可读”。	不要场景背景|不要头像裁切|不要现代战术装备|不要玄幻枪光|不要每帧兵器长度不一致	PROMPT_READY	P1 battle sheet prompt for 主角枪手战斗动作sheet
battle_sheet_hero_blademaster	battle_action_sheet	主角刀客战斗动作sheet	blademaster	assets/pixel_battle/sheets/blademaster_sheet.png	Formal 3-frame battle action sheet for the young Ming coastal blademaster protagonist|Full-body side-view combat sprite sheet, vertical 3-stack: blade guard, compact slash, recovery stance|The same protagonist must stay consistent across all frames	Ming dynasty coastal military old-case pressure|Young Ming coastal officer using a waist saber, practical cloth armor and field gear|No modern objects or fantasy staging	Chroma-key vertical 3-stack sprite sheet, 3 frames in one column, each frame 1536x512|Frame-safe silhouette with stable foot anchor and readable blade arc|Readable at gameplay size without decorative clutter	young officer blademaster|idle blade guard, close slash, recovery or guard pose|consistent costume, face, proportions, saber length	disciplined blade work|heroic restraint|old-case pressure|historical realism|clear animation readability	Communicate a trained young officer whose saber movement is compact and forceful.	No background scene|no large portrait crop|no katana focus|no samurai armor|no fantasy slash glow	主角刀客正式三帧战斗动作 sheet|纵向三叠全身侧视战斗 sprite：持刀守势、短促斩击、回收架势|三帧必须是同一名主角，造型一致	明代海疆军务旧案压力|年轻明军海防武官使用腰刀，实用布甲与军务行装|不要现代物件和玄幻摆拍	纯亮绿抠图纵向三叠 sprite sheet，三帧一列，每帧 1536x512|轮廓保持帧安全，脚底锚点稳定，刀势弧线清楚|缩到游戏尺寸后动作仍清楚	年轻持刀武官|待机持刀守势、近身斩击、回收或防御姿态|统一服装、面部、比例和腰刀长度	纪律化刀法|英雄克制|旧案压迫|历史写实|动作可读性清楚	必须传达“刀势短促、有力、可读”。	不要场景背景|不要头像裁切|不要武士刀中心构图|不要日本武士甲|不要玄幻刀光	PROMPT_READY	P1 battle sheet prompt for 主角刀客战斗动作sheet
battle_sheet_enemy_spearman	battle_action_sheet	敌方枪手战斗动作sheet	enemy_spearman	assets/pixel_battle/sheets/enemy_spearman_sheet.png	Formal 3-frame battle action sheet for early-story enemy spearmen|Full-body side-view combat sprite sheet, vertical 3-stack: spear guard, aggressive thrust, guarded recovery|The same enemy role must stay consistent across all frames	Ming dynasty coastal military old-case pressure|Coastal raider or old soldier using a worn long spear, practical rough clothing and military traces|No modern objects or fantasy staging	Chroma-key vertical 3-stack sprite sheet, 3 frames in one column, each frame 1536x512|Long spear must fit frame safely with stable foot anchor|Readable at gameplay size and distinct from the protagonist silhouette	enemy spearman|guard pose, long-weapon thrust, recovery guard|worn spear, rough coastal clothing, restrained official traces	organized threat|coastal ambush pressure|old-case suspicion|historical realism|clear animation readability	Communicate an enemy long-weapon fighter who is practical, dangerous, and not monstrous.	No background scene|no monster design|no modern tactical gear|no fantasy spear glow|no chaotic multi-character crowd	敌方枪手正式三帧战斗动作 sheet|纵向三叠全身侧视战斗 sprite：持枪守势、强压突刺、回收守势|三帧必须保持同一敌方角色身份	明代海疆军务旧案压力|海岸伏兵或旧兵使用旧长枪，粗粝服装与军务痕迹可信|不要现代物件和玄幻摆拍	纯亮绿抠图纵向三叠 sprite sheet，三帧一列，每帧 1536x512|长枪完整落在帧内，脚底锚点稳定|缩到游戏尺寸后要和主角剪影有区分	敌方枪手|守势、长兵突刺、回收守势|破旧长枪、粗粝海岸服装、克制官军痕迹	组织化威胁|海岸伏击压迫|旧案疑云|历史写实|动作可读性清楚	必须传达“实用、危险、不是怪物化敌人”。	不要场景背景|不要怪物设计|不要现代战术装备|不要玄幻枪光|不要多人混杂	PROMPT_READY	P1 battle sheet prompt for 敌方枪手战斗动作sheet
battle_sheet_enemy_blademaster	battle_action_sheet	敌方刀客战斗动作sheet	enemy_blademaster	assets/pixel_battle/sheets/enemy_blademaster_sheet.png	Formal 3-frame battle action sheet for early-story enemy blademasters|Full-body side-view combat sprite sheet, vertical 3-stack: blade guard, fast slash, recovery stance|The same enemy role must stay consistent across all frames	Ming dynasty coastal military old-case pressure|Coastal raider or corrupt military blade user with practical clothing and worn weapon|No modern objects or fantasy staging	Chroma-key vertical 3-stack sprite sheet, 3 frames in one column, each frame 1536x512|Frame-safe silhouette with stable foot anchor and readable blade motion|Readable at gameplay size and distinct from the protagonist silhouette	enemy blademaster|blade guard pose, fast slash pose, recovery pose|worn saber, rough coastal clothing, restrained military traces	raider pressure|disciplined danger|old-case suspicion|historical realism|clear animation readability	Communicate a human enemy blade fighter with trained violence and no fantasy spectacle.	No background scene|no monster design|no katana focus|no samurai armor|no fantasy slash glow	敌方刀客正式三帧战斗动作 sheet|纵向三叠全身侧视战斗 sprite：持刀守势、快速斩击、回收架势|三帧必须保持同一敌方角色身份	明代海疆军务旧案压力|海岸袭击者或腐败军中刀手，实用服装与旧兵器可信|不要现代物件和玄幻摆拍	纯亮绿抠图纵向三叠 sprite sheet，三帧一列，每帧 1536x512|轮廓保持帧安全，脚底锚点稳定，刀势运动清楚|缩到游戏尺寸后要和主角剪影有区分	敌方刀客|持刀守势、快速斩击、回收姿态|旧腰刀、粗粝海岸服装、克制军务痕迹	袭击压迫|纪律化危险|旧案疑云|历史写实|动作可读性清楚	必须传达“有训练的人类敌人，不是玄幻奇观”。	不要场景背景|不要怪物设计|不要武士刀中心构图|不要日本武士甲|不要玄幻刀光	PROMPT_READY	P1 battle sheet prompt for 敌方刀客战斗动作sheet
portrait_master_veteran_bust	battle_portrait	师父头像	master_veteran	assets/pixel_battle/portraits/master_veteran_bust.png	Formal battle portrait bust for the old master veteran|A restrained Ming coastal veteran, weathered face, quiet authority|Should read clearly as the mentor who intervenes in the prologue	Ming dynasty coastal military old-case pressure|Practical old soldier clothing, worn armor or cloth layers, no fantasy staging|No modern objects	Half-body or bust portrait, clean readable silhouette|Face and shoulders centered, no hand-held prop blocking the face|Subtle transparent or restrained parchment background allowed	old master veteran face|weathered features, restrained gaze, worn Ming coastal military clothing|subtle saber or veteran gear hints	silent authority|old-case burden|heroic restraint|historical realism|portrait readability	Communicate a mentor whose silence carries weight and battlefield history.	No full battle scene|no young pretty face|no fantasy glowing eyes|no modern uniform|no samurai armor	师父正式战斗头像|克制的明代海防老兵，风霜面容，沉默威严|要清楚读成序章救场的师父	明代海疆军务旧案压力|实用旧兵服饰、旧甲或布层，不要玄幻摆拍|不要现代物件	半身或胸像构图，轮廓清楚|面部和肩部居中，不要手持物遮挡脸|允许透明背景或克制宣纸底	师父老兵面容|风霜五官、克制目光、明代海防旧兵服饰|少量腰刀或老兵装备暗示	沉默威严|旧案重负|英雄克制|历史写实|头像可读性清楚	必须传达“沉默但有战场重量的师父”。	不要完整战斗场景|不要年轻美型脸|不要玄幻发光眼|不要现代制服|不要日本武士甲	PROMPT_READY	P1 battle portrait prompt for 师父头像
portrait_hero_spearman_bust	battle_portrait	主角枪手头像	spearman	assets/pixel_battle/portraits/hero_officer_spear_bust.png	Formal battle portrait bust for the young Ming coastal spearman protagonist|A young officer with restrained resolve and practical field clothing|Should read as the protagonist in spear-route early battles	Ming dynasty coastal military old-case pressure|Practical Ming coastal officer details, cloth armor, travel wear, restrained weapon cue|No modern objects	Half-body or bust portrait with clean readable silhouette|Face, shoulders, and spear-route identity visible without clutter|Subtle transparent or restrained parchment background allowed	young spearman officer face|restrained gaze, practical coastal military clothing|small spear or weapon-rack cue without blocking face	young resolve|coastal military pressure|old-case suspicion|historical realism|portrait readability	Communicate a protagonist who is young but already carrying official pressure.	No full battle scene|no fantasy hero armor|no modern uniform|no cute chibi|no oversized weapon blocking face	主角枪手正式战斗头像|年轻海防武官，克制坚定，实用行装|要读成早期枪路线战斗主角	明代海疆军务旧案压力|明代海防武官细节、布甲、行旅衣装、克制兵器暗示|不要现代物件	半身或胸像构图，轮廓清楚|面部、肩部和枪路线身份可见，不堆杂物|允许透明背景或克制宣纸底	年轻持枪武官面容|克制目光、实用海防军务服装|少量长枪或兵器暗示但不遮脸	年轻决意|海疆军务压迫|旧案疑云|历史写实|头像可读性清楚	必须传达“年轻，但已经背负军务压力”。	不要完整战斗场景|不要玄幻英雄甲|不要现代制服|不要Q版|不要巨大兵器挡脸	PROMPT_READY	P1 battle portrait prompt for 主角枪手头像
portrait_hero_blademaster_bust	battle_portrait	主角刀客头像	blademaster	assets/pixel_battle/portraits/hero_officer_saber_bust.png	Formal battle portrait bust for the young Ming coastal blademaster protagonist|A young officer with a restrained saber-user presence and practical field clothing|Should read as the protagonist in blade-route early battles	Ming dynasty coastal military old-case pressure|Practical Ming coastal officer details, cloth armor, waist saber cue, no fantasy staging|No modern objects	Half-body or bust portrait with clean readable silhouette|Face, shoulders, and saber-route identity visible without clutter|Subtle transparent or restrained parchment background allowed	young blademaster officer face|restrained gaze, practical coastal military clothing|small waist saber cue without blocking face	quiet blade discipline|coastal military pressure|old-case suspicion|historical realism|portrait readability	Communicate a protagonist whose restraint matters more than swagger.	No full battle scene|no katana focus|no samurai armor|no modern uniform|no fantasy glow	主角刀客正式战斗头像|年轻海防武官，克制的用刀气质，实用行装|要读成早期刀路线战斗主角	明代海疆军务旧案压力|明代海防武官细节、布甲、腰刀暗示，不要玄幻摆拍|不要现代物件	半身或胸像构图，轮廓清楚|面部、肩部和刀路线身份可见，不堆杂物|允许透明背景或克制宣纸底	年轻持刀武官面容|克制目光、实用海防军务服装|少量腰刀暗示但不遮脸	安静刀法纪律|海疆军务压迫|旧案疑云|历史写实|头像可读性清楚	必须传达“克制比张扬更重要的主角”。	不要完整战斗场景|不要武士刀中心构图|不要日本武士甲|不要现代制服|不要玄幻发光	PROMPT_READY	P1 battle portrait prompt for 主角刀客头像
portrait_enemy_prologue_raider	battle_portrait	袭村倭寇刀手头像	enemy_blademaster_prologue_raider	assets/pixel_battle/portraits/portrait_enemy_prologue_raider.png	Formal battle portrait bust for the prologue village-raider blademaster|A coastal raider returning to silence witnesses, human and dangerous rather than monstrous|Should read as a weak but threatening prologue enemy	Ming dynasty coastal military old-case pressure|Rough coastal raider clothing, worn saber, hints of smoke and ash, no fantasy staging|No modern objects	Half-body or bust portrait with clean readable silhouette|Face and shoulders clear, weapon cue restrained|Subtle transparent or restrained parchment background allowed	prologue raider face|worn saber-user clothing, ash and sea-wind traces|human menace without monster features	village-raid pressure|old-case silence|coastal menace|historical realism|portrait readability	Communicate an early enemy who is dangerous because he is human and deliberate.	No monster design|no gore|no samurai armor|no modern uniform|no fantasy glow	序章袭村倭寇刀手正式头像|折返灭口的海岸袭击者，是危险的人，不是怪物|要读成序章弱但有威胁的敌人	明代海疆军务旧案压力|粗粝海岸袭击者服装、旧腰刀、烟灰与海风痕迹，不要玄幻摆拍|不要现代物件	半身或胸像构图，轮廓清楚|面部和肩部清晰，兵器暗示克制|允许透明背景或克制宣纸底	序章袭击者面容|旧刀客衣装、灰烬和海风痕迹|没有怪物化的人类威胁	袭村压迫|旧案灭口|海岸危险感|历史写实|头像可读性清楚	必须传达“危险来自人，而不是怪物”。	不要怪物设计|不要血腥特写|不要日本武士甲|不要现代制服|不要玄幻发光	PROMPT_READY	P1 battle portrait prompt for 袭村倭寇刀手头像
portrait_enemy_spearman_beach_ambush	battle_portrait	海边伏击敌方枪手头像	enemy_spearman_beach_ambush	assets/pixel_battle/portraits/portrait_enemy_spearman_beach_ambush.png	Formal battle portrait bust for the beach-ambush enemy spearman|A coastal forward scout with official mud traces and a long-spear identity|Should read as the first-act ambush spearman	Ming dynasty coastal military old-case pressure|Rough coastal clothing mixed with suspicious official traces, spear cue, no fantasy staging|No modern objects	Half-body or bust portrait with clean readable silhouette|Face and shoulders clear, spear cue visible but not blocking face|Subtle transparent or restrained parchment background allowed	enemy spearman scout face|long-spear cue, wet shore traces, suspicious official mud|restrained hostile expression	ambush pressure|coastal suspicion|old-case clue|historical realism|portrait readability	Communicate a spear scout whose details imply more than simple banditry.	No monster design|no modern tactical gear|no fantasy spear glow|no crowd scene|no gore	海边伏击敌方枪手正式头像|海岸前哨枪手，身上有可疑官泥痕迹和长枪身份|要读成第一幕伏击枪手	明代海疆军务旧案压力|粗粝海岸服装混有可疑官方痕迹，长枪暗示，不要玄幻摆拍|不要现代物件	半身或胸像构图，轮廓清楚|面部和肩部清晰，长枪暗示可见但不遮脸|允许透明背景或克制宣纸底	敌方前哨枪手面容|长枪暗示、湿岸痕迹、可疑官泥|克制敌意表情	伏击压迫|海岸疑云|旧案线索|历史写实|头像可读性清楚	必须传达“细节说明他不只是普通匪徒”。	不要怪物设计|不要现代战术装备|不要玄幻枪光|不要人群场景|不要血腥特写	PROMPT_READY	P1 battle portrait prompt for 海边伏击敌方枪手头像
