reward_plan_id	battle_slot_id	deck_id	deck_skeleton_id	archetype_id	scope	route_type	battle_type	tier	expected_player_realm	expected_lightness_level	reward_profile	martial_xp_reward	weapon_xp_reward	military_merit_reward	clean_reputation_reward	old_case_progress_reward	lightness_reward_type	lightness_cap_unlock	card_reward_pool	resource_reward_type	resource_reward_amount	risk_level	can_trigger_realm_10	can_trigger_lightness_breakthrough	can_trigger_wuzhuangyuan_route	ending_route	source_route_checkpoint	source_deck_id	notes
rw_prologue_01	prologue_01				tutorial	common	tutorial		1	0	tutorial	3	0	0	1	0	none	none	none	heal	1	low	false	false	false	none	normal_after_wuju		序章教学奖励，不承担路线分流。
rw_wuju_weapon_01	wuju_weapon_01				wuju_weapon	common	weapon_trial		2	0-1	weapon_trial	5	4	1	0	0	practice	cap_1	weapon_basic	supply	1	low	false	false	false	none	normal_after_wuju		兵器试长枪基础奖励。
rw_wuju_weapon_02	wuju_weapon_02				wuju_weapon	common	weapon_trial		2-3	0-1	weapon_trial	5	4	1	0	0	practice	cap_1	weapon_basic	supply	1	low	false	false	false	none	normal_after_wuju		兵器试单刀基础奖励。
rw_wuju_exam_01	wuju_exam_01				wuju_exam	common	exam		3	1	wuju_exam	5	1	1	0	0	level_up	cap_1	generic_common	heal	1	medium	false	false	false	none	normal_after_wuju		步法试允许轻功升到 1。
rw_wuju_exam_02	wuju_exam_02				wuju_exam	common	exam		3	1	wuju_exam	6	2	1	0	0	practice	cap_1	weapon_common	supply	1	medium	false	false	false	none	normal_after_wuju		武举兵器考核奖励。
rw_wuju_exam_03	wuju_exam_03				wuju_exam	common	exam		3-4	1	wuju_exam	8	3	2	0	0	practice	cap_1	weapon_uncommon	upgrade_card	1	medium	false	false	false	none	normal_after_wuju		武举对人战奖励，累计前置达到 32 xp。
rw_big_map_normal_enemy_coastal_raider_blade_advanced	big_map_normal_pool	enemy_coastal_raider_blade_advanced	enemy_coastal_raider_blade_advanced	coastal_raider_blade	big_map_normal	common	normal	basic	4-8	1-2	normal_high	5	3	1	0	0	practice	cap_2	weapon_common	silver	30	medium	false	false	false	none	normal_after_big_map	enemy_coastal_raider_blade_advanced	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_coastal_raider_blade_aggressive	big_map_normal_pool	enemy_coastal_raider_blade_aggressive	enemy_coastal_raider_blade_aggressive	coastal_raider_blade	big_map_normal	common	normal	basic	4-8	1-2	normal_high	5	3	1	0	0	practice	cap_2	weapon_common	silver	30	medium	false	false	false	none	normal_after_big_map	enemy_coastal_raider_blade_aggressive	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_coastal_raider_blade_basic	big_map_normal_pool	enemy_coastal_raider_blade_basic	enemy_coastal_raider_blade_basic	coastal_raider_blade	big_map_normal	common	normal	basic	4-8	1-2	normal_standard	5	2	1	0	0	practice	none	generic_common	silver	20	low	false	false	false	none	normal_after_big_map	enemy_coastal_raider_blade_basic	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_coastal_raider_spear_advanced	big_map_normal_pool	enemy_coastal_raider_spear_advanced	enemy_coastal_raider_spear_advanced	coastal_raider_spear	big_map_normal	common	normal	basic	4-8	1-2	normal_high	5	3	1	0	0	practice	cap_2	weapon_common	silver	30	medium	false	false	false	none	normal_after_big_map	enemy_coastal_raider_spear_advanced	普通池奖励，主用于 8-9 境成长。
