track_id	order	t	type	power
altered_military_report	1	0.4	hold	0.12
altered_military_report	2	1.15	focus	0.14
altered_military_report	3	2.3	mist	0.06
arrow_silence	1	0.4	hold	0.18
arrow_silence	2	1.1	focus	0.12
beach_ambush	1	0.35	mist	0.14
beach_ambush	2	1.1	focus	0.1
beach_ambush	3	1.75	character	0.08
beach_ambush_aftermath	1	0.45	mist	0.10
beach_ambush_aftermath	2	1.35	focus	0.13
beach_ambush_aftermath	3	2.25	hold	0.08
black_tide_0	1	0.25	hold	0.1
black_tide_0	2	2.3	mist	0.08
black_tide_1	1	0.5	mist	0.09
black_tide_1	2	2.2	fire	0.16
black_tide_2	1	0.7	mist	0.12
black_tide_2	2	1.6	fire	0.24
black_tide_2	3	2.2	focus	0.1
black_tide_3	1	0.35	mist	0.15
black_tide_3	2	1.2	fire	0.28
black_tide_3	3	2.1	hold	0.12
black_tide_dead	1	0.35	hold	0.18
black_tide_dead	2	1.25	mist	0.12
black_tide_dead	3	2.1	focus	0.1
black_tide_fall	1	0.35	mist	0.15
black_tide_fall	2	1.2	fire	0.28
black_tide_fall	3	2.1	hold	0.12
black_tide_wooden_blade	1	0.3	fire	0.12
black_tide_wooden_blade	2	1.0	focus	0.14
black_tide_wooden_blade	3	2.1	hold	0.08
departure	1	0.45	character	0.1
departure	2	1.4	mist	0.06
fishing_village_embers_aftermath	1	0.35	fire	0.16
fishing_village_embers_aftermath	2	1.2	mist	0.12
fishing_village_embers_aftermath	3	2.2	focus	0.10
master_rescue	1	0.25	fire	0.24
master_rescue	2	0.65	character	0.16
master_rescue	3	1.65	focus	0.1
merchant_banquet	1	0.35	mist	0.12
merchant_banquet	2	1.15	focus	0.12
merchant_banquet	3	2.2	hold	0.08
military_coverup	1	0.35	hold	0.18
military_coverup	2	1.8	focus	0.1
military_messenger	1	0.35	mist	0.12
military_messenger	2	1.15	focus	0.12
military_messenger	3	2.2	hold	0.08
military_order	1	0.35	character	0.08
military_order	2	1.5	hold	0.06
military_order	3	2.2	focus	0.10
ming_firearm	1	0.25	fire	0.24
ming_firearm	2	0.95	focus	0.14
ming_firearm	3	2.1	hold	0.08
mutiny_camp	1	0.35	mist	0.12
mutiny_camp	2	1.15	focus	0.12
mutiny_camp	3	2.2	hold	0.08
mutiny_camp_aftermath	1	0.35	mist	0.12
mutiny_camp_aftermath	2	1.15	focus	0.12
mutiny_camp_aftermath	3	2.2	hold	0.08
night_knife_camp	1	0.3	fire	0.2
night_knife_camp	2	1.15	focus	0.14
night_knife_camp	3	2.6	hold	0.1
prologue_dont_look	1	0.4	character	0.12
prologue_dont_look	2	1.3	focus	0.12
prologue_dont_look	3	2.1	hold	0.08
prologue_hidden_arrow	1	0.4	hold	0.18
prologue_hidden_arrow	2	1.1	focus	0.12
prologue_master_arrives	1	0.25	fire	0.24
prologue_master_arrives	2	0.65	character	0.16
prologue_master_arrives	3	1.65	focus	0.1
prologue_military_word	1	0.35	hold	0.12
prologue_military_word	2	1.15	focus	0.16
prologue_military_word	3	2.1	mist	0.1
prologue_three_cards	1	0.35	character	0.1
prologue_three_cards	2	1.1	focus	0.16
prologue_three_cards	3	2.2	hold	0.08
transport_officer	1	0.4	character	0.1
transport_officer	2	1.1	mist	0.1
transport_officer	3	2.05	hold	0.08
transport_officer_aftermath	1	0.35	mist	0.1
transport_officer_aftermath	2	1.2	focus	0.12
transport_officer_aftermath	3	2.1	hold	0.08
wakou_boss	1	0.25	mist	0.16
wakou_boss	2	0.95	fire	0.24
wakou_boss	3	1.7	character	0.12
wakou_boss	4	2.6	focus	0.12
