operation_node_id	scope	route_type	stage	node_type	node_subtype	node_index	availability_window	expected_player_realm	expected_lightness_level	operation_role	primary_function	secondary_function	resource_cost_type	resource_cost_amount	resource_reward_type	resource_reward_amount	martial_xp_reward	weapon_xp_reward	military_merit_reward	clean_reputation_reward	old_case_progress_reward	lightness_reward_type	lightness_cap_unlock	card_service_type	card_reward_pool	risk_level	can_prepare_boss	can_trigger_lightness_breakthrough	can_trigger_wuzhuangyuan_route	can_support_true_ending	narrative_hook_tags	route_gate_tags	notes
op_training_upgrade_01	big_map	common	big_map_early	training	校场	1	M01-M05	4-6	1	deck_upgrade	upgrade_or_remove_card	basic_form_refinement	silver	30	upgrade_card	1	1	1	0	0	0	practice	none	upgrade	weapon_common	low	false	false	false	false	master_teaching	none	基础构筑强化节点；小幅成长，不替代战斗主收益。
op_camp_rest_01	big_map	common	big_map_early	camp	行营	2	M01-M05	4-6	1	recovery	heal_and_stabilize	small_supply_refill	supply	1	heal	2	0	0	0	0	0	none	none	none	none	low	false	false	false	false	camp_rest	none	恢复节点，几乎不给成长收益。
op_military_gate_merit_01	big_map	normal	big_map_mid	military_gate	军门	3	M06-M10	6-8	1-2	military_merit	gain_military_merit_with_reputation_risk	route_prestige_check	clean_reputation	1	title	1	1	0	2	-1	0	none	none	none	none	medium	false	false	false	false	military_gate	high_military_merit	军功提升伴随清望代价，避免无脑正收益。
op_weapon_service_01	big_map	common	big_map_mid	weapon_service	器械所	4	M06-M10	6-8	1-2	weapon_upgrade	upgrade_weapon_routine	tune_weapon_package	silver	40	weapon_upgrade	1	1	2	0	0	0	practice	none	transform	weapon_uncommon	medium	false	false	false	false	weapon_service	none	兵器维护节点，偏武器成长不偏武境暴涨。
op_master_teaching_01	big_map	optional	big_map_mid	master	师门	5	M06-M10	6-8	2	deck_upgrade	advanced_form_teaching	discipline_and_tempo	silver	50	upgrade_card	1	2	1	0	1	0	level_up	cap_2	choose_card	weapon_or_generic_uncommon	medium	false	false	false	true	master_teaching	true_route_candidate	中段强化点，可支持真路线准备但不直接开高轻功。
op_market_rumor_01	big_map	common	big_map_mid	market	市井	6	M06-M10	6-8	1-2	clean_reputation	trade_and_collect_rumors	minor_clue_exchange	silver	20	clue	1	0	0	0	1	0	none	none	remove	generic_common	low	false	false	false	false	market_rumor	none	清望和线索补给点，不给高武道收益。
op_old_case_clue_01	big_map	true_route	big_map_late	old_case	旧案	7	M11-M15	8-10	2	old_case_progress	trade_clean_reputation_for_clue	unlock_hidden_case_branch	old_case_risk	1	clue	2	1	0	1	-1	2	practice	cap_2	none	none	route	false	false	false	true	old_case	old_case_progress,true_route_candidate	旧案推进节点，风险更高，推进值明确大于 0。
op_boss_prepare_01	big_map	normal	boss_prepare	boss_prepare	休整	8	M13-M15	8-10	2	boss_preparation	prepare_final_boss	heal_and_refit	supply	2	heal	2	0	1	1	0	0	none	none	final_upgrade	weapon_or_generic_uncommon	route	true	false	false	false	boss_prepare	none	Boss 前准备节点，给整备不给大量武道成长。
op_lightness_encounter_01	big_map	optional	big_map_late	lightness_encounter	身法奇遇	9	M11-M15	8-10	2-3	lightness_breakthrough	unlock_lightness_cap	rare_body_movement_trial	health	1	route_flag	1	1	0	0	0	0	cap_unlock	cap_3	none	none	rare	false	true	false	false	lightness_encounter	lightness_cap_3	稀缺轻功节点，只开到 cap_3，不做常态化收益。
op_wuzhuangyuan_offer_01	big_map	wuzhuangyuan	big_map_late	military_gate	军门	10	M11-M15	9-10	2-3	route_choice	offer_wuzhuangyuan_path	military_merit_verification	route_lock	1	route_flag	1	0	0	0	0	0	none	none	none	none	route	false	false	true	false	wuzhuangyuan_offer,military_gate	high_military_merit,wuzhuangyuan_candidate	武状元候选分流节点，依赖高军功标记。
