approval_id	package_version	artifact_id	artifact_path	artifact_type	source_stage	validator_status	validator_warning_count	validator_error_count	approval_status	approved_for_export	approval_required	approval_reason	risk_level	export_scope	export_blockers	required_actions	waiver_flags	source_manifest_checksum	source_validator_log_path	notes
approval_progression_numeric_config_v1_3	v0.6d	progression_numeric_config_v1_3	data/design/progression_numeric_config_v1_3.tsv	source_config	v0.1	SOURCE_ONLY	0	0	pending_review	false	true	source_config_requires_manual_review	medium	none	runtime_exporter_not_implemented,runtime_schema_not_defined,approval_not_granted,needs_manual_review	manual_review_required,define_runtime_schema,add_runtime_export_mapping,approve_before_v0_7		63be0635d2f779676c66b537dc07204f0dc095ebafd427122237594e642236f0	data/design/validator_logs/progression_validator.log	No direct validator row; source config reviewed indirectly via progression_validator.
approval_generated_battle_slot_plan	v0.6d	generated_battle_slot_plan	data/design/generated_battle_slot_plan.tsv	design_plan	v0.1	PASS	0	0	pending_review	false	true	validator_pass_but_runtime_schema_not_defined	low	future_runtime	runtime_exporter_not_implemented,runtime_schema_not_defined,needs_manual_review,approval_not_granted	manual_review_required,define_runtime_schema,add_runtime_export_mapping,approve_before_v0_7		24136c3adfe18f174b42a52bc8c5c7570eff7abbd22de5823f43fc2f35b03d4b	data/design/validator_logs/progression_validator.log	
approval_generated_enemy_deck_requirement	v0.6d	generated_enemy_deck_requirement	data/design/generated_enemy_deck_requirement.tsv	design_plan	v0.1	PASS	0	0	pending_review	false	true	validator_pass_but_runtime_schema_not_defined	low	future_runtime	runtime_exporter_not_implemented,runtime_schema_not_defined,needs_manual_review,approval_not_granted	manual_review_required,define_runtime_schema,add_runtime_export_mapping,approve_before_v0_7		536c018af4be3d0c0343bfa60592b679712fa6fb4852d201ef3960fee6a3302d	data/design/validator_logs/progression_validator.log	
approval_generated_route_progression_curve	v0.6d	generated_route_progression_curve	data/design/generated_route_progression_curve.tsv	design_plan	v0.1	PASS	0	0	pending_review	false	true	validator_pass_but_runtime_schema_not_defined	low	future_runtime	runtime_exporter_not_implemented,runtime_schema_not_defined,needs_manual_review,approval_not_granted	manual_review_required,define_runtime_schema,add_runtime_export_mapping,approve_before_v0_7		0645f47955680167cebf34ca90adc185235d420fc4be809a0e32b79dd8300a23	data/design/validator_logs/progression_validator.log	
approval_generated_operation_node_requirement	v0.6d	generated_operation_node_requirement	data/design/generated_operation_node_requirement.tsv	design_plan	v0.1.1	PASS	0	0	pending_review	false	true	validator_pass_but_runtime_schema_not_defined	low	future_runtime	runtime_exporter_not_implemented,runtime_schema_not_defined,needs_manual_review,approval_not_granted	manual_review_required,define_runtime_schema,add_runtime_export_mapping,approve_before_v0_7		f15de519edc514bbe99d824b76afe2ca97559d14426a93904a74d3197a018ab0	data/design/validator_logs/progression_validator.log	
approval_generated_enemy_archetype_pool	v0.6d	generated_enemy_archetype_pool	data/design/generated_enemy_archetype_pool.tsv	generated_table	v0.2	PASS	0	0	pending_review	false	true	validator_pass_but_runtime_schema_not_defined	medium	future_runtime	runtime_exporter_not_implemented,runtime_schema_not_defined,needs_manual_review,approval_not_granted	manual_review_required,define_runtime_schema,add_runtime_export_mapping,approve_before_v0_7		469316098e52269f5eb5089e081bf2b79ebebf74f694ba345d92f29c041863a8	data/design/validator_logs/enemy_archetype_validator.log	Design-layer artifact only; runtime export still requires explicit approval gate and exporter implementation.
approval_generated_enemy_deck_skeleton	v0.6d	generated_enemy_deck_skeleton	data/design/generated_enemy_deck_skeleton.tsv	generated_table	v0.3	WARN	1	0	waiver_required	false	true	validator_warn_requires_manual_waiver	high	future_runtime	runtime_exporter_not_implemented,runtime_schema_not_defined,needs_manual_review,approval_not_granted,validator_warning_unresolved	manual_review_required,define_runtime_schema,add_runtime_export_mapping,approve_before_v0_7,resolve_validator_warning,manual_waiver_required	waiver_required	bd1f4140fa51d5f93d9fd1b207fdaa91b0b32792b9c0ac9e7c5c63ffae5bb396	data/design/validator_logs/enemy_deck_skeleton_validator.log	Validator summary note: pass_result_with_warnings. Design-layer artifact only; runtime export still requires explicit approval gate and exporter implementation.
approval_generated_card_pool	v0.6d	generated_card_pool	data/design/generated_card_pool.tsv	generated_table	v0.4a	PASS	0	0	pending_review	false	true	validator_pass_but_runtime_schema_not_defined	high	future_runtime	runtime_exporter_not_implemented,runtime_schema_not_defined,needs_manual_review,approval_not_granted	manual_review_required,define_runtime_schema,add_runtime_export_mapping,approve_before_v0_7,sampler_validation_required		d727cd8be83f6c7f5d4cb532be7088e22eb89dbdaeabed4d5e9c4168fa1d2a62	data/design/validator_logs/card_pool_validator.log	Design-layer artifact only; runtime export still requires explicit approval gate and exporter implementation.
approval_generated_enemy_deck_sets	v0.6d	generated_enemy_deck_sets	data/design/generated_enemy_deck_sets.tsv	generated_table	v0.4b	WARN	1	0	waiver_required	false	true	validator_warn_requires_manual_waiver	high	future_runtime	runtime_exporter_not_implemented,runtime_schema_not_defined,needs_manual_review,approval_not_granted,validator_warning_unresolved	manual_review_required,define_runtime_schema,add_runtime_export_mapping,approve_before_v0_7,resolve_validator_warning,manual_waiver_required,sampler_validation_required	waiver_required	af7aad77bd6d175f23062c8429b0d306a3f597d6f713dc3956c0ef48d5827c0b	data/design/validator_logs/enemy_deck_sets_validator.log	Validator summary note: pass_result_with_warnings. Design-layer artifact only; runtime export still requires explicit approval gate and exporter implementation.
approval_generated_battle_reward_plan	v0.6d	generated_battle_reward_plan	data/design/generated_battle_reward_plan.tsv	reward_plan	v0.5a	PASS	0	0	pending_review	false	true	validator_pass_but_runtime_schema_not_defined	medium	future_runtime	runtime_exporter_not_implemented,runtime_schema_not_defined,needs_manual_review,approval_not_granted	manual_review_required,define_runtime_schema,add_runtime_export_mapping,approve_before_v0_7		59c4e869ed80bd2aa757dc3279077194564c38a2a1b0120de75e5b1c6ece69ab	data/design/validator_logs/battle_reward_validator.log	Design-layer artifact only; runtime export still requires explicit approval gate and exporter implementation.
