candidate_type	file_path	symbol_or_line	matched_keyword	evidence	likely_role	confidence	risk_level	recommended_action	notes
high_risk_touchpoint	data/story_battles/story_encounters.tsv	line:1	settlement	"encounter_id	display_name	player_template_id	player_deck_id	player_stat_set_id	opponent_template_id	opponent_deck_id	opponent_stat_set_id	settlement_mode	pressure_profile	intent_visibility_policy	notes"	不建议直接修改的高风险文件触点	high	high	保持只读，避免在 v1.0a 修改该文件。	主流程关键文件，当前阶段仅允许静态定位。
high_risk_touchpoint	scenes/MainVisual.tscn	line:13	settlement	"settlement_mode_id = ""reactive"""	不建议直接修改的高风险文件触点	high	high	保持只读，避免在 v1.0a 修改该文件。	主流程关键文件，当前阶段仅允许静态定位。
high_risk_touchpoint	scripts/battle_state_machine.gd	set_settlement_mode	settlement	settlement_mode = value	不建议直接修改的高风险文件触点	high	high	保持只读，避免在 v1.0a 修改该文件。	主流程关键文件，当前阶段仅允许静态定位。
high_risk_touchpoint	scripts/battle_state_machine.gd	set_settlement_mode_id	settlement	settlement_mode = SettlementMode.SYMMETRIC	不建议直接修改的高风险文件触点	high	high	保持只读，避免在 v1.0a 修改该文件。	主流程关键文件，当前阶段仅允许静态定位。
high_risk_touchpoint	scripts/battle_state_machine.gd	settlement_mode	settlement	var settlement_mode: SettlementMode = SettlementMode.REACTIVE	不建议直接修改的高风险文件触点	high	high	保持只读，避免在 v1.0a 修改该文件。	主流程关键文件，当前阶段仅允许静态定位。
high_risk_touchpoint	scripts/battle_state_machine.gd	settlement_mode_id	settlement	return MODE_REACTIVE_ID if settlement_mode == SettlementMode.REACTIVE else MODE_SYMMETRIC_ID	不建议直接修改的高风险文件触点	high	high	保持只读，避免在 v1.0a 修改该文件。	主流程关键文件，当前阶段仅允许静态定位。
legacy_reward_source	data/enemy_manifest.json	line:1090	reward	"""reward"": {"	可能是旧奖励数据源	high	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	data/enemy_manifest.json	line:226	reward	"""reward"": {"	可能是旧奖励数据源	high	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	data/enemy_manifest.json	line:364	reward	"""reward"": {"	可能是旧奖励数据源	high	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	data/enemy_manifest.json	line:4	reward	"""purpose"": ""Enemy stat, identity, deck, AI intent weights, phase behavior and reward configuration for narrative battles."","	可能是旧奖励数据源	high	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	data/enemy_manifest.json	line:505	reward	"""reward"": {"	可能是旧奖励数据源	high	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	data/enemy_manifest.json	line:660	reward	"""reward"": {"	可能是旧奖励数据源	high	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	data/enemy_manifest.json	line:800	reward	"""reward"": {"	可能是旧奖励数据源	high	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	data/enemy_manifest.json	line:961	reward	"""reward"": {"	可能是旧奖励数据源	high	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	data/rewards.json	line:1	reward	[	可能是旧奖励数据源	high	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。（seed）
legacy_reward_source	data/story_battles.json	line:577	settlement	"""settlement_mode"": ""reactive"","	可能是旧奖励数据源	high	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	data/story_battles.json	line:591	settlement	"""settlement_mode"": ""reactive"","	可能是旧奖励数据源	high	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	data/story_battles.json	line:605	settlement	"""settlement_mode"": ""reactive"","	可能是旧奖励数据源	high	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	data/story_battles.json	line:619	settlement	"""settlement_mode"": ""reactive"","	可能是旧奖励数据源	high	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	data/story_battles.json	line:633	settlement	"""settlement_mode"": ""reactive"","	可能是旧奖励数据源	high	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	data/story_battles.json	line:647	settlement	"""settlement_mode"": ""reactive"","	可能是旧奖励数据源	high	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	data/story_battles.json	line:661	settlement	"""settlement_mode"": ""reactive"","	可能是旧奖励数据源	high	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	data/story_battles.json	line:675	settlement	"""settlement_mode"": ""reactive"","	可能是旧奖励数据源	high	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	scripts/Main_data.gd	_load_game_data	reward	"reward_pool = _load_json_file(DATA_PATHS[""rewards""], TYPE_ARRAY, ""奖励池"")"	可能是旧奖励数据源	medium	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	scripts/narrative/focus_ui_runtime.gd	_battle_growth_reward_for_source	reward	"return c._formal_reward_for_encounter(encounter_id, str(node.get(""type"", """")))"	可能是旧奖励数据源	medium	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	scripts/narrative_demo_canonical_controller.gd	_battle_reward_for_source	reward	"if has_method(""_formal_reward_for_encounter""):"	可能是旧奖励数据源	medium	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	scripts/narrative_demo_choice_combat_controller.gd	_battle_growth_reward_for_source	reward	"return _formal_reward_for_encounter(encounter_id, str(node.get(""type"", """")))"	可能是旧奖励数据源	medium	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
legacy_reward_source	scripts/narrative_demo_formal_controller.gd	_apply_battle_result_reward	reward	"var reward: Dictionary = _formal_reward_for_encounter(encounter_id, str(node.get(""type"", """")))"	可能是旧奖励数据源	medium	medium	纳入 adapter 的 legacy 读取分支，不直接改写原源数据。	可作为 shadow 对比基线。
battle_settlement_entry	scripts/battle_controller_core_round_resolution.gd	_finish_battle	battle_end	func _finish_battle() -> void:	可能是战斗结束结算入口	high	medium	避免直接改动结算主流程，在外层增加可控接入点。	优先采用旁路接入和结果对比，降低回归风险。（seed）
battle_settlement_entry	scripts/narrative/focus_ui_runtime.gd	_consume_battle_result_if_needed	结算	"c.last_hint = ""战斗胜利：未找到待结算选择，暂不推进。"""	可能是战斗结束结算入口	high	medium	避免直接改动结算主流程，在外层增加可控接入点。	优先采用旁路接入和结果对比，降低回归风险。
battle_settlement_entry	scripts/narrative_battle_context.gd	set_result	result	last_result = p_result	可能是战斗结束结算入口	high	medium	避免直接改动结算主流程，在外层增加可控接入点。	优先采用旁路接入和结果对比，降低回归风险。
battle_settlement_entry	scripts/narrative_demo_choice_combat_controller.gd	_consume_battle_result_if_needed	结算	"last_hint = ""战斗胜利：未找到待结算选择，暂不推进。"""	可能是战斗结束结算入口	high	medium	避免直接改动结算主流程，在外层增加可控接入点。	优先采用旁路接入和结果对比，降低回归风险。
reward_generation_function	scripts/battle_controller_core_session_rewards.gd	_sample_rewards	reward	for template in reward_pool:	可能是奖励生成逻辑	medium	medium	后续由单一 adapter 接管奖励生成输入，函数保持调用层稳定。	需区分卡牌奖励与叙事资源奖励两条链路。
reward_generation_function	scripts/battle_controller_core_session_rewards.gd	_sample_rewards	rewards	func _sample_rewards(count: int) -> Array[CardData]:	可能是奖励生成逻辑	medium	medium	后续由单一 adapter 接管奖励生成输入，函数保持调用层稳定。	需区分卡牌奖励与叙事资源奖励两条链路。
reward_generation_function	scripts/narrative/canonical_battle_reward_runtime.gd	reward_from_context_or_node	reward	static func reward_from_context_or_node(context_reward: Dictionary, source_index: int, active_node_count: int, node: Dictionary, formal_reward: Dictionary = {}) -> Dictionary:	可能是奖励生成逻辑	medium	medium	后续由单一 adapter 接管奖励生成输入，函数保持调用层稳定。	需区分卡牌奖励与叙事资源奖励两条链路。
reward_generation_function	scripts/narrative/focus_ui_runtime.gd	_battle_growth_reward_for_source	reward	func _battle_growth_reward_for_source(source_index: int) -> Dictionary:	可能是奖励生成逻辑	medium	medium	后续由单一 adapter 接管奖励生成输入，函数保持调用层稳定。	需区分卡牌奖励与叙事资源奖励两条链路。
reward_generation_function	scripts/narrative_demo_canonical_controller.gd	_battle_reward_for_source	battle_reward	func _battle_reward_for_source(source_index: int) -> Dictionary:	可能是奖励生成逻辑	high	medium	后续由单一 adapter 接管奖励生成输入，函数保持调用层稳定。	最小接入点候选：建议将 runtime/legacy 决策集中到该链路前。（seed）
reward_generation_function	scripts/narrative_demo_canonical_controller.gd	_battle_reward_for_source	reward	var formal_reward: Dictionary = {}	可能是奖励生成逻辑	high	medium	后续由单一 adapter 接管奖励生成输入，函数保持调用层稳定。	最小接入点候选：建议将 runtime/legacy 决策集中到该链路前。
