card_id	display_name	card_class	weapon_style	weapon_requirement	is_generic	rarity	tactic_role	deck_role	min_distance	max_distance	preferred_distance	momentum_cost	gain_momentum	break_momentum	damage	guard	self_move_after	target_push_after	target_pull_after	move_condition	tags	combo_tags	ai_usage_hint	power_budget	budget_target	budget_delta	implementation_status	source_grammar	notes
generic_strike	平击	attack	generic	none	true	common	opener	attack	1	2	1	1	1	0	2	0	0	0	0	on_hit	weapon_generic,role_opener,deck_attack,ai_stable	combo_opener	stable_opening_poke	4	4	0	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
generic_forward_press	逼步压击	attack	generic	none	true	common	pressure	attack	1	2	1	1	0	1	2	0	1	0	0	on_hit	weapon_generic,role_pressure,deck_attack,ai_press	combo_bridge	step_in_then_pressure	4	4	0	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
generic_guard	稳架	guard	generic	none	true	common	guard	guard	1	3	2	1	1	0	0	3	0	0	0	none	weapon_generic,role_guard,deck_guard,ai_stabilize		guard_when_under_pressure	5	4	1	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
generic_counter_guard	守中反击	guard	generic	none	true	uncommon	counter	guard	1	2	1	2	0	1	1	3	0	0	0	on_hit	weapon_generic,role_counter,deck_guard,ai_counter	combo_bridge	guard_then_counter_cut	6	8	-2	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
generic_step_back	后撤	movement	generic	none	true	common	retreat	movement	1	3	2	0	1	0	0	1	-1	0	0	always	weapon_generic,role_retreat,deck_movement,ai_disengage		retreat_and_reset_tempo	3	0	3	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=3 due to role identity.
generic_side_step	侧闪换位	movement	generic	none	true	common	approach	movement	1	2	1	1	1	0	0	1	1	0	0	always	weapon_generic,role_approach,deck_movement,ai_tempo	combo_bridge	step_to_better_angle	3	4	-1	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
generic_posture_tap	点削	posture_break	generic	none	true	common	break	posture_break	1	2	1	1	0	1	1	0	0	0	0	on_hit	weapon_generic,role_break,deck_posture_break,ai_chip		chip_break_without_overburst	3	4	-1	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
generic_guard_split	拆架试探	posture_break	generic	none	true	uncommon	punish	posture_break	1	2	1	2	0	2	1	0	0	0	0	on_hit	weapon_generic,role_break,deck_posture_break,ai_punish	combo_bridge	punish_high_guard_targets	5	8	-3	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=-3 due to role identity.
generic_recover	调息	tempo	generic	none	true	common	recovery	tempo	1	3	2	0	2	0	0	1	0	0	0	none	weapon_generic,role_recovery,deck_tempo,ai_reset		recover_momentum_not_damage	5	0	5	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=5 due to role identity.
generic_tempo_shift	换拍	tempo	generic	none	true	uncommon	combo_bridge	tempo	1	2	1	1	1	0	1	1	0	0	0	on_hit	weapon_generic,role_tempo,deck_tempo,ai_setup	combo_bridge	tempo_link_for_followup	4	4	0	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
